real,imag
7.071067811865475727e-01,-7.071067811865474617e-01
6.363961030678922937e-01,-7.363961030678929376e-01
5.656854249492382358e-01,-7.656854249492378583e-01
4.949747468305830678e-01,-7.949747468305833342e-01
4.242640687119290099e-01,-8.242640687119282550e-01
3.535533905932737864e-01,-8.535533905932737309e-01
2.828427124746185628e-01,-8.828427124746192067e-01
2.121320343559645050e-01,-9.121320343559641275e-01
1.414213562373093369e-01,-9.414213562373096034e-01
7.071067811865527908e-02,-9.707106781186545241e-01
-0.000000000000000000e+00,-1.000000000000000000e+00
-7.071067811865415498e-02,-9.707106781186549682e-01
-1.414213562373095034e-01,-9.414213562373094923e-01
-2.121320343559648658e-01,-9.121320343559640165e-01
-2.828427124746190069e-01,-8.828427124746189847e-01
-3.535533905932743415e-01,-8.535533905932735088e-01
-4.242640687119285103e-01,-8.242640687119284770e-01
-4.949747468305838449e-01,-7.949747468305830012e-01
-5.656854249492380138e-01,-7.656854249492380804e-01
-6.363961030678934039e-01,-7.363961030678924935e-01
-7.071067811865474617e-01,-7.071067811865475727e-01
-7.363961030678929376e-01,-6.363961030678922937e-01
-7.656854249492384135e-01,-5.656854249492371256e-01
-7.949747468305833342e-01,-4.949747468305830678e-01
-8.242640687119288101e-01,-4.242640687119278442e-01
-8.535533905932737309e-01,-3.535533905932737864e-01
-8.828427124746192067e-01,-2.828427124746185628e-01
-9.121320343559641275e-01,-2.121320343559645050e-01
-9.414213562373096034e-01,-1.414213562373093369e-01
-9.707106781186549682e-01,-7.071067811865405783e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186545241e-01,7.071067811865522357e-02
-9.414213562373096034e-01,1.414213562373092536e-01
-9.121320343559642385e-01,2.121320343559644772e-01
-8.828427124746192067e-01,2.828427124746185073e-01
-8.535533905932737309e-01,3.535533905932737309e-01
-8.242640687119283660e-01,4.242640687119289544e-01
-7.949747468305834452e-01,4.949747468305829567e-01
-7.656854249492379694e-01,5.656854249492382358e-01
-7.363961030678930486e-01,6.363961030678921826e-01
-7.071067811865475727e-01,7.071067811865474617e-01
-6.363961030678934039e-01,7.363961030678924935e-01
-5.656854249492380138e-01,7.656854249492379694e-01
-4.949747468305838449e-01,7.949747468305830012e-01
-4.242640687119273446e-01,8.242640687119289211e-01
-3.535533905932731757e-01,8.535533905932739529e-01
-2.828427124746190069e-01,8.828427124746189847e-01
-2.121320343559648380e-01,9.121320343559640165e-01
-1.414213562373082267e-01,9.414213562373099364e-01
-7.071067811865405783e-02,9.707106781186549682e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.071067811865403008e-02,9.707106781186550792e-01
1.414213562373104471e-01,9.414213562373091593e-01
2.121320343559644772e-01,9.121320343559642385e-01
2.828427124746185073e-01,8.828427124746192067e-01
3.535533905932748966e-01,8.535533905932732868e-01
4.242640687119289544e-01,8.242640687119283660e-01
4.949747468305829567e-01,7.949747468305834452e-01
5.656854249492370146e-01,7.656854249492384135e-01
6.363961030678934039e-01,7.363961030678924935e-01
7.071067811865474617e-01,7.071067811865475727e-01
7.363961030678923825e-01,6.363961030678935149e-01
7.656854249492384135e-01,5.656854249492371256e-01
7.949747468305833342e-01,4.949747468305830678e-01
8.242640687119282550e-01,4.242640687119290099e-01
8.535533905932732868e-01,3.535533905932750076e-01
8.828427124746192067e-01,2.828427124746185628e-01
9.121320343559641275e-01,2.121320343559645050e-01
9.414213562373090483e-01,1.414213562373104471e-01
9.707106781186549682e-01,7.071067811865405783e-02
1.000000000000000000e+00,0.000000000000000000e+00
9.707106781186550792e-01,7.071067811865403008e-02
9.414213562373101585e-01,1.414213562373080602e-01
9.121320343559642385e-01,2.121320343559644772e-01
8.828427124746192067e-01,2.828427124746185073e-01
8.535533905932742860e-01,3.535533905932725096e-01
8.242640687119283660e-01,4.242640687119289544e-01
7.949747468305834452e-01,4.949747468305829567e-01
7.656854249492384135e-01,5.656854249492370146e-01
7.363961030678936037e-01,6.363961030678909614e-01
7.071067811865475727e-01,7.071067811865474617e-01
6.363961030678935149e-01,7.363961030678923825e-01
5.656854249492395681e-01,7.656854249492374143e-01
4.949747468305830678e-01,7.949747468305833342e-01
4.242640687119290099e-01,8.242640687119282550e-01
3.535533905932750076e-01,8.535533905932732868e-01
2.828427124746209498e-01,8.828427124746182075e-01
2.121320343559645050e-01,9.121320343559641275e-01
1.414213562373104471e-01,9.414213562373090483e-01
7.071067811865650032e-02,9.707106781186540800e-01
0.000000000000000000e+00,1.000000000000000000e+00
-7.071067811865426600e-02,9.707106781186549682e-01
-1.414213562373085320e-01,9.414213562373099364e-01
-2.121320343559628119e-01,9.121320343559649046e-01
-2.828427124746194510e-01,8.828427124746188737e-01
-3.535533905932737309e-01,8.535533905932738419e-01
-4.242640687119280107e-01,8.242640687119286991e-01
-4.949747468305822906e-01,7.949747468305836673e-01
-5.656854249492389020e-01,7.656854249492377473e-01
-6.363961030678931818e-01,7.363961030678927155e-01
-7.071067811865474617e-01,7.071067811865475727e-01
-7.363961030678933817e-01,6.363961030678911834e-01
-7.656854249492384135e-01,5.656854249492371256e-01
-7.949747468305833342e-01,4.949747468305830678e-01
-8.242640687119282550e-01,4.242640687119290099e-01
-8.535533905932741749e-01,3.535533905932726206e-01
-8.828427124746192067e-01,2.828427124746185628e-01
-9.121320343559641275e-01,2.121320343559645050e-01
-9.414213562373100475e-01,1.414213562373081157e-01
-9.707106781186549682e-01,7.071067811865405783e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186550792e-01,-7.071067811865403008e-02
-9.414213562373091593e-01,-1.414213562373104471e-01
-9.121320343559642385e-01,-2.121320343559644772e-01
-8.828427124746192067e-01,-2.828427124746185073e-01
-8.535533905932732868e-01,-3.535533905932748966e-01
-8.242640687119283660e-01,-4.242640687119289544e-01
-7.949747468305834452e-01,-4.949747468305829567e-01
-7.656854249492384135e-01,-5.656854249492370146e-01
-7.363961030678924935e-01,-6.363961030678934039e-01
-7.071067811865475727e-01,-7.071067811865474617e-01
-6.363961030678935149e-01,-7.363961030678923825e-01
-5.656854249492371256e-01,-7.656854249492384135e-01
-4.949747468305830678e-01,-7.949747468305833342e-01
-4.242640687119290099e-01,-8.242640687119282550e-01
