bin,real,imag,mag
0.000000000000000000e+00,-4.414213562373108246e-01,-6.414213562373092259e-01,7.786360959907369095e-01
1.000000000000000000e+00,-3.312626062319488085e-01,-6.135028610561619189e-01,6.972235472297815262e-01
2.000000000000000000e+00,-4.038846290316993048e-01,-6.860231372992027232e-01,7.960845046085962551e-01
3.000000000000000000e+00,-3.504809859931512506e-01,-6.412132698015851062e-01,7.307471374643706996e-01
4.000000000000000000e+00,-2.510913495357770531e-01,-7.032363699710010296e-01,7.467183256500997679e-01
5.000000000000000000e+00,-2.658347627857708950e-01,-7.789946871935766737e-01,8.231043942181242024e-01
6.000000000000000000e+00,-2.633448038612276054e-01,-7.514912647299749615e-01,7.962974360665527884e-01
7.000000000000000000e+00,-2.357704460772791499e-01,-7.194659305856263565e-01,7.571122298027687103e-01
8.000000000000000000e+00,-1.757359312880709679e-01,-8.828427124746238697e-01,9.001635254303724798e-01
9.000000000000000000e+00,-1.775415178727022258e-01,-8.190804774946134348e-01,8.381013179689833503e-01
1.000000000000000000e+01,-4.638822409624265841e-02,-8.247041303177844451e-01,8.260077299263102191e-01
1.100000000000000000e+01,-6.509324983524855668e-03,-9.488231335252781395e-01,9.488454616134647246e-01
1.200000000000000000e+01,-4.899887539861180752e-02,-9.637569765627157503e-01,9.650017614821413403e-01
1.300000000000000000e+01,-2.590502803794914044e-03,-9.697596688855976144e-01,9.697631288628580926e-01
1.400000000000000000e+01,2.259573107013832516e-01,-1.018815720492938448e+00,1.043571836809975784e+00
1.500000000000000000e+01,1.027212998035187397e-01,-1.029753310811264644e+00,1.034864023222416218e+00
1.600000000000000000e+01,2.414213562373115352e-01,-9.585786437626890866e-01,9.885126643222024168e-01
1.700000000000000000e+01,4.138628166465974090e-01,-1.121480830067393519e+00,1.195408584213491832e+00
1.800000000000000000e+01,3.606126726155282070e-01,-1.249301605319918185e+00,1.300306118075985617e+00
1.900000000000000000e+01,4.308332362023257200e-01,-1.188965036086159222e+00,1.264616595831294044e+00
2.000000000000000000e+01,6.191821192334144852e-01,-1.031274603879247520e+00,1.202877302714072005e+00
2.100000000000000000e+01,5.332034393623756863e-01,-1.468951347009145092e+00,1.562729652763986010e+00
2.200000000000000000e+01,6.401724244688837828e-01,-1.247271775834901231e+00,1.401965625771444346e+00
2.300000000000000000e+01,1.178453730849565062e+00,-1.378238268547174350e+00,1.813365357737147354e+00
2.400000000000000000e+01,1.248528137423854156e+00,-1.907106781186550304e+00,2.279447034872011280e+00
2.500000000000000000e+01,1.087746453930490853e+00,-1.832963257305536331e+00,2.131418928946273272e+00
2.600000000000000000e+01,1.191371406457671034e+00,-1.743527797649955691e+00,2.111694819168488113e+00
2.700000000000000000e+01,2.918910866123932024e+00,-3.245042777570656067e+00,4.364669892745594915e+00
2.800000000000000000e+01,2.126367999840228062e+00,-2.588518720391932870e+00,3.349905974287043176e+00
