bin,real,imag,mag
2.900000000000000000e+01,5.508395347774266426e+00,-1.290476580977762966e+00,5.657539139363795044e+00
3.000000000000000000e+01,1.202280686006323762e+01,-7.230895327273769269e+00,1.402974454608398247e+01
3.100000000000000000e+01,9.860268218704929311e+00,-2.223543802935176927e+01,2.432364268981818256e+01
3.200000000000000000e+01,-8.746803743153531485e+00,-3.628893936688451305e+01,3.732818902779326464e+01
3.300000000000000000e+01,1.908944946839580936e+01,2.889714551874757831e+01,3.463310699515869828e+01
3.400000000000000000e+01,-9.596798319370956065e+00,3.724373171058348753e+00,1.029414850776791646e+01
3.500000000000000000e+01,-4.956661021660194066e+00,5.319677713189030932e+00,7.271001269140692003e+00
3.600000000000000000e+01,-2.080279500362698375e+00,2.234607219869481298e+00,3.053036558366455377e+00
3.700000000000000000e+01,-2.764343625491768819e+00,6.904611032878085197e-01,2.849268715819972098e+00
3.800000000000000000e+01,-2.735176421054381635e+00,1.072758755746722859e+00,2.938026787203124268e+00
3.900000000000000000e+01,-2.420391730114176188e+00,1.216354245618033625e+00,2.708839932155111541e+00
4.000000000000000000e+01,-1.989949493661162361e+00,8.284271247462232646e-02,1.991673141439746830e+00
4.100000000000000000e+01,-1.974126765742422851e+00,4.309926716826117943e-01,2.020626430160893161e+00
4.200000000000000000e+01,-1.458776594261276482e+00,3.687442393996633871e-01,1.504659917075936715e+00
4.300000000000000000e+01,-1.371113164043544330e+00,-2.415730975540930636e-02,1.371325958416932389e+00
4.400000000000000000e+01,-1.482371974499872458e+00,-4.213047374185607818e-02,1.482970548460205817e+00
4.500000000000000000e+01,-1.373326288649830085e+00,-4.797509065692318053e-02,1.374164002010042518e+00
4.600000000000000000e+01,-1.013678686578961541e+00,-1.260109985929924736e-01,1.021480910928271646e+00
4.700000000000000000e+01,-1.194415167348469531e+00,-1.400853980197616089e-01,1.202601975189808048e+00
4.800000000000000000e+01,-1.041421356237310469e+00,-7.573593128807898367e-02,1.044171620240289755e+00
4.900000000000000000e+01,-9.015360407286152622e-01,-2.356115103566613911e-01,9.318154412463738323e-01
5.000000000000000000e+01,-9.540422739082899950e-01,-3.263067286422773883e-01,1.008301909926449191e+00
5.100000000000000000e+01,-9.130626127020751159e-01,-2.878345313640717773e-01,9.573568050418371778e-01
5.200000000000000000e+01,-8.250695695379847150e-01,-2.255796456131369254e-01,8.553513728828310292e-01
5.300000000000000000e+01,-8.601910899194589177e-01,-4.095581889681363386e-01,9.527153936657506428e-01
5.400000000000000000e+01,-8.181013983349925134e-01,-3.426248652833638886e-01,8.869507857080421998e-01
5.500000000000000000e+01,-6.858017143666661486e-01,-3.886906102546638930e-01,7.882920663868190347e-01
5.600000000000000000e+01,-6.828427124746194732e-01,-4.928932188134543813e-01,8.421507555847608240e-01
5.700000000000000000e+01,-7.046582100216165490e-01,-4.780822561803068638e-01,8.515314654346726186e-01
5.800000000000000000e+01,-6.803191377955675190e-01,-4.750289118380129905e-01,8.297509242736106350e-01
5.900000000000000000e+01,-5.519169929437917066e-01,-5.836416550858785079e-01,8.032745163712720071e-01
6.000000000000000000e+01,-5.949971499417611165e-01,-5.428521295065364960e-01,8.054253801244407596e-01
6.100000000000000000e+01,-5.007959170799178850e-01,-5.247455395966762470e-01,7.253650335455403830e-01
6.200000000000000000e+01,-4.468603847947925090e-01,-6.183905033357302017e-01,7.629488961357554500e-01
6.300000000000000000e+01,-4.795807918575061279e-01,-6.501660976416445692e-01,8.079069813049253312e-01
