bin,real,imag,mag
3.600000000000000000e+01,3.009210712314849268e+00,-1.305676007917322412e+00,3.280265072941721982e+00
3.700000000000000000e+01,2.571748572516447950e+00,-7.321950590139212345e-01,2.673948452136799769e+00
3.800000000000000000e+01,2.282576128392241888e+00,-4.606850851753345744e-01,2.328601410634529856e+00
3.900000000000000000e+01,1.742123248094571863e+00,-7.785864631414565196e-01,1.908190318636666882e+00
4.000000000000000000e+01,2.131370849898479580e+00,5.857864376269461548e-02,2.132175686312467899e+00
4.100000000000000000e+01,1.936699855666972114e+00,2.920103158465597870e-02,1.936919985746979211e+00
4.200000000000000000e+01,1.788429498163666587e+00,3.557093663971983011e-02,1.788783206941347403e+00
4.300000000000000000e+01,1.647564175919304930e+00,4.540938954778106496e-02,1.648189833250939706e+00
4.400000000000000000e+01,1.502024831708035801e+00,6.178333095002919162e-02,1.503294972735169654e+00
4.500000000000000000e+01,1.304536404515046266e+00,1.030172205503596672e-01,1.308597638097733107e+00
4.600000000000000000e+01,1.479856042857773391e+00,3.354110715469760251e-02,1.480236100577144720e+00
4.700000000000000000e+01,1.244437186986834032e+00,1.090935402728319126e-01,1.249209875435254746e+00
4.800000000000000000e+01,1.124264068711929188e+00,1.585786437626901524e-01,1.135392831778638589e+00
4.900000000000000000e+01,1.028500635921787421e+00,2.101527780196743578e-01,1.049751279208988475e+00
5.000000000000000000e+01,9.495809467484430666e-01,2.640269919816775612e-01,9.856034836193315885e-01
5.100000000000000000e+01,8.852793751087996155e-01,3.181102090269829485e-01,9.406985048782725567e-01
5.200000000000000000e+01,8.338438370760142826e-01,2.343539131511604978e-01,8.661508536270760006e-01
5.300000000000000000e+01,7.931599102428643633e-01,4.171930561975627505e-01,8.961878649903329830e-01
5.400000000000000000e+01,7.606250335543676133e-01,4.581385821568323413e-01,8.879422290499846548e-01
5.500000000000000000e+01,7.331729129081304697e-01,4.916339532862152861e-01,8.827493779357906689e-01
5.600000000000000000e+01,7.071067811865443531e-01,5.171572875253793722e-01,8.760431838902711377e-01
5.700000000000000000e+01,6.763216005572205702e-01,5.341274477291111378e-01,8.618022034074264148e-01
5.800000000000000000e+01,6.003246010139458022e-01,5.313514477446408257e-01,8.017006845468443998e-01
5.900000000000000000e+01,6.941830359768730307e-01,5.810231115690904780e-01,9.052502105028731316e-01
6.000000000000000000e+01,6.317513629388394891e-01,5.796063425036257488e-01,8.573524927621728464e-01
6.100000000000000000e+01,5.877643703856227919e-01,5.862267987688725146e-01,8.301378287306316883e-01
6.200000000000000000e+01,5.430115229861636195e-01,5.968195751754143963e-01,8.068798667759129462e-01
6.300000000000000000e+01,4.953275453952261653e-01,6.130872905710047505e-01,7.881785350331200757e-01
